osmid,name,highway,surface,tracktype,foot,bicycle,sac_scale,trail_visibility,smoothness,width,mtb:scale,mtb:scale:imba,osmc:symbol,image,incline,lit,step_count,ford,bridge,tunnel,wheelchair,ramp,source,mapillary,scenic,section,footway,sidewalk,length_m,corridor
1378914358,Arholma Södra byväg,unclassified,gravel,,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/SAT_20250813_Arholma_02.jpg,,,,,,,,,,,,SAT Arholma,,,18.90254271623578,CAR_ROAD
1428451472,SAT Arholma,path,,,designated,,hiking,good,,,,,,,,,,,,,,,,,,SAT Arholma,,,168.61253007667779,DEDICATED_PATH
1428451473,SAT Arholma,path,sand,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/90/SAT_Arholma_20250813_-_18.jpg,,,,,,,,,,,yes,SAT Arholma,,,143.94776212012619,DEDICATED_PATH
1428508787,Arholma Södra byväg,unclassified,gravel,,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/SAT_20250813_Arholma_04.jpg,,,,,,,,,,,,SAT Arholma,,,202.42704138356567,CAR_ROAD
1429536378,SAT Arholma,footway,grass,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Arholma_20250815_03.jpg/3024px-Arholma_20250815_03.jpg,,,,,,,no,,,,,SAT Arholma,,,60.553274988961235,DEDICATED_PATH
1429536379,SAT Arholma,footway,grass,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Arholma_20250815_10.jpg/3024px-Arholma_20250815_10.jpg,,,,,,,no,,,,,SAT Arholma,,,49.889411924974254,DEDICATED_PATH
1429536380,SAT Arholma,footway,grass,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Arholma_20250815_03.jpg/3024px-Arholma_20250815_03.jpg,,,,,,,no,,,,,SAT Arholma,,,30.19093735722491,DEDICATED_PATH
1429536381,SAT Arholma,footway,grass,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Arholma_20250815_07.jpg,,,,,,,no,,,,,SAT Arholma,,,15.803701421920564,DEDICATED_PATH
1429536382,SAT Arholma,footway,grass,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Arholma_20250815_06.jpg/3024px-Arholma_20250815_06.jpg,,,,,,,no,,,,,SAT Arholma,,,56.38292010861051,DEDICATED_PATH
1429538430,SAT Arholma,path,gravel,,,,hiking,intermediate,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/SAT_Arholma_20250813_vandringen_03.jpg,up,,,,,,,,,,,SAT Arholma,,,117.91422231584528,DEDICATED_PATH
620363967,SAT Brottö,unclassified,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/37/SAT_Brott%C3%B6_%2810%29.jpg,,,,,,,,,,,,SAT Brottö,,,1679.8714831362006,CAR_ROAD
620363971,Lammuddsvägen,unclassified,compacted,,designated,,hiking,good,,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/7/7e/SAT_Brott%C3%B6_%283%29.jpg,,,,,,,,,,,,SAT Brottö,,,251.3531689494185,CAR_ROAD
822320899,SAT Brottö,footway,concrete,,designated,,hiking,good,very_good,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/SAT_Brottby_Ferry_stop_02.jpg/2560px-SAT_Brottby_Ferry_stop_02.jpg,,,,,,,,,,,,SAT Brottö,,,26.01674986694716,DEDICATED_PATH
39504806,SAT Finnhamn,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/SAT_Finnhamn_2025_april_%281%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,771.0173535417373,DEDICATED_PATH
39504807,SAT Finnhamn,path,fine_gravel,grade2,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/SAT_Finnhamn_2025_april_%2811%29.jpg,,,,,,,,,,1764204777849964,,SAT Finnhamn,,,351.0751505792788,DEDICATED_PATH
126470801,SAT Finnhamn,path,,,designated,,hiking,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/SAT_Finnhamn_2025_april_bron_till_Lill_Jolpan.jpg,,,,,yes,,,,,816703125910460,,SAT Finnhamn,,,45.23301164500276,DEDICATED_PATH
222762725,SAT Finnhamn,track,gravel,grade2,designated,,hiking,good,intermediate,2,,,,https://upload.wikimedia.org/wikipedia/commons/6/6c/SAT_Finnhamn_%281%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,448.5598549322508,TRACK
287245652,SAT Finnhamn,path,ground,,,,hiking,good,,0.3,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/SAT_Finnhamn_20250811_-_19.jpg/3024px-SAT_Finnhamn_20250811_-_19.jpg,,,,,,,,,,,,SAT Finnhamn,,,1689.040062250845,DEDICATED_PATH
287245654,SAT Finnhamn,track,fine_gravel,grade2,designated,,hiking,,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/SAT_Finnhamn_Idholmen_%2828%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,294.5962553999255,TRACK
287245655,SAT Finnhamn,track,fine_gravel,grade2,designated,,hiking,good,intermediate,2,,,,https://upload.wikimedia.org/wikipedia/commons/d/d9/SAT_Finnhamn_Idholmen_%2825%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,170.11867148191362,TRACK
287245656,SAT Finnhamn,path,ground,,designated,,hiking,good,,0.8,,,,https://upload.wikimedia.org/wikipedia/commons/2/25/SAT_Finnhamn_2025_april_%283%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,275.3814209644574,DEDICATED_PATH
287245657,SAT Finnhamn,track,fine_gravel,grade2,,,hiking,,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/SAT_Finnhamn_Idholmen.jpg,,,,,,,,,,,,SAT Finnhamn,,,248.38036358723375,TRACK
346550510,SAT Finnhamn,path,ground,,designated,,hiking,medium,,0.8,,,,https://upload.wikimedia.org/wikipedia/commons/7/7b/SAT_Finnhamn_2025_april_%286%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,382.1617033120455,DEDICATED_PATH
360568156,SAT Finnhamn,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/SAT_Finnhamn_2025_april_vandrarhemmet_%282%29.jpg,up,,,,,,,,survey,,,SAT Finnhamn,,,302.90423105919797,DEDICATED_PATH
506814564,SAT Finnhamn,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/SAT_Finnhamn_2025_april_%2832%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,979.6492821482344,DEDICATED_PATH
606367681,SAT Finnhamn,path,ground,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/SAT_Finnhamn_grillplats_Pojkarnas_udde_01.jpg,,,,,,,,,,,,SAT Finnhamn,,,25.089114855767164,DEDICATED_PATH
606367682,SAT Finnhamn,path,"ground,rock",,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/SAT_Finnhamn_grillplats_Pojkarnas_udde_01.jpg,,,,,,,,,,,,SAT Finnhamn,,,158.40346116893514,DEDICATED_PATH
606367684,SAT Finnhamn,path,"rock,ground",,designated,,hiking,medium,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/SAT_Finnhamn_Idholmen_%286%29.jpg/1024px-SAT_Finnhamn_Idholmen_%286%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,374.80480877023876,DEDICATED_PATH
620364012,SAT Finnhamn,track,fine_gravel,grade2,,,hiking,medium,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Finnhamn_Idholmen_stugbyn_%281%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,141.68320730293414,TRACK
620364014,SAT Finnhamn,track,compacted,grade2,,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/SAT_Finnhamn_2025_april_%2814%29.jpg,up,,,,,,,,,,,SAT Finnhamn,,,529.3780652663341,TRACK
620364016,SAT Finnhamn,path,ground,,designated,,hiking,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/SAT_Finnhamn_2025_april_bron_till_Lill_Jolpan.jpg,,,,,,,,,,,,SAT Finnhamn,,,241.23084488553528,DEDICATED_PATH
696324909,SAT Finnhamn,track,fine_gravel,grade2,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/SAT_Finnhamn_Stora_jolpan_%284%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,364.5702694344458,TRACK
696326499,SAT Finnhamn,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/SAT_Finnhamn_2025_april_%2815%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,91.19583455122276,DEDICATED_PATH
696327445,SAT Finnhamn,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e9/SAT_Finnhamn_2025_april_%2840%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,2446.6834957308656,DEDICATED_PATH
967578974,SAT Finnhamn,path,ground;rock,,designated,discouraged,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/SAT_Finnhamn_2025_april_%285%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,232.66298169479526,DEDICATED_PATH
967578991,SAT Finnhamn,path,"ground,rock",,designated,,hiking,medium,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/SAT_Finnhamn_Idholmen_%2819%29.jpg,,,,,,,,,,,yes,SAT Finnhamn,,,443.7156302939753,DEDICATED_PATH
967578992,SAT Finnhamn,path,ground,,designated,,hiking,medium,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/SAT_Finnhamn_Idholmen_%289%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,431.62934381597086,DEDICATED_PATH
967578993,SAT Finnhamn,path,"ground,rock",,,,hiking,bad,,0.8,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/SAT_Finnhamn_20250811_-_1.jpg,,,,,,,,,,,,SAT Finnhamn,,,326.84997534752694,DEDICATED_PATH
967578995,SAT Finnhamn,path,bare_rock,,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/SAT_Finnhamn_2025_april_%2818%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,622.5589942424062,DEDICATED_PATH
1087587107,SAT Finnhamn,path,ground,,designated,,hiking,,,"0,5",,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SAT_Finnhamn_20250811_vandring_02.jpg/3024px-SAT_Finnhamn_20250811_vandring_02.jpg,,,,,,,,,,,yes,SAT Finnhamn,,,109.80361847323246,DEDICATED_PATH
1087587108,SAT Finnhamn,path,rock,,designated,,hiking,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/SAT_Finnhamn_20250811_vandring_03.jpg/3024px-SAT_Finnhamn_20250811_vandring_03.jpg,,,,,,,,,,,,SAT Finnhamn,,,222.742471359273,DEDICATED_PATH
1087587111,SAT Finnhamn,track,fine_gravel;bare_rock,grade4,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Idholmen.jpg/2560px-Idholmen.jpg,,,,,,,,,,,,SAT Finnhamn,,,91.85221821255472,TRACK
1087587121,SAT Finnhamn,track,fine_gravel,grade1,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/SAT_Finnhamn_Idholmen_%2828%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,227.7441174716104,TRACK
1304887651,SAT Finnhamn,path,ground,,designated,,,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/SAT_Finnhamn_2025_april_%287%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,406.3040935905024,DEDICATED_PATH
1379275517,SAT Finnhamn,path,ground,grade4,,,hiking,very_bad,,0.6,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/SAT_Finnhamn_20250811_-_19.jpg/3024px-SAT_Finnhamn_20250811_-_19.jpg,,,,,,,,,,,,SAT Finnhamn,,,317.78953626071456,DEDICATED_PATH
1379275518,SAT Finnhamn,path,ground,,designated,no,hiking,good,bad,0.5,0,,,https://upload.wikimedia.org/wikipedia/commons/6/60/SAT_Finnhamn_2025_april_%2855%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,118.05598728465145,DEDICATED_PATH
1379275520,SAT Finnhamn,path,rock,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/SAT_Finnhamn_2025_april_bron_till_Lill_Jolpan.jpg,,,,,,,,,,,,SAT Finnhamn,,,104.12079598530289,DEDICATED_PATH
1379275524,SAT Finnhamn,track,gravel,grade2,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/SAT_Finnhamn_2025_april_%2829%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,115.39394432414883,TRACK
1379275527,SAT Finnhamn,path,ground,,designated,,hiking,good,,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/2/2b/SAT_Finnhamn_2025_april_%2857%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,299.63502192052414,DEDICATED_PATH
1379275528,SAT Finnhamn,track,gravel,grade2,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/SAT_Finnhamn_2025_april_%2858%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,90.41411213921427,TRACK
1379275529,SAT Finnhamn,track,gravel,grade2,designated,,hiking,excellent,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/SAT_Finnhamn_2025_april_%2859%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,800.398102730426,TRACK
1379275531,SAT Finnhamn,track,compacted,grade2,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/SAT_Finnhamn_2025_april_%282%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,128.38775416617756,TRACK
1379275533,SAT Finnhamn,track,fine_gravel,grade5,designated,,hiking,good,,,,,,,,,,,,,,,,,,SAT Finnhamn,,,125.51497638565809,TRACK
1379275534,SAT Finnhamn,path,ground,,designated,,hiking,good,,1.2,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/SAT_Finnhamn_2025_april_%2811%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,118.50199977152153,DEDICATED_PATH
1379275536,SAT Finnhamn,path,ground,,designated,,,,,,,,,,,,,,,,,,,,,SAT Finnhamn,,,22.398891227048853,DEDICATED_PATH
1379275537,SAT Finnhamn,path,ground,,designated,,hiking,good,,0.8,,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/SAT_Finnhamn_2025_april_%284%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,406.6755704286741,DEDICATED_PATH
1379275538,SAT Finnhamn,track,compacted,grade2,,,hiking,,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/SAT_Finnhamn_Idholmen_%2830%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,54.39389674903205,TRACK
1379275540,SAT Finnhamn,track,fine_gravel,grade2,designated,,hiking,good,intermediate,2,,,,https://upload.wikimedia.org/wikipedia/commons/d/d7/SAT_Finnhamn_Idholmen_%2827%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,51.600176756905725,TRACK
1426074549,SAT Finnhamn,path,,,,,hiking,medium,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/SAT_Finnhamn_2025_april_Talluddens_vindskydd.jpg,,,,,,,,,,,,SAT Finnhamn,,,87.40973400566148,DEDICATED_PATH
1426074552,SAT Finnhamn,path,,,designated,,hiking,medium,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/6/6c/SAT_Finnhamn_Idholmen_%2814%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,52.91333863994577,DEDICATED_PATH
1426452409,SAT Finnhamn,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/SAT_Finnhamn_2025_april_%2839%29.jpg,,,,,,,,,,,,SAT Finnhamn,,,72.2575996115253,DEDICATED_PATH
1426452410,SAT Finnhamn,path,rock,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e9/SAT_Finnhamn_2025_april_%2840%29.jpg,,,,,,,,,,,yes,SAT Finnhamn,,,33.66459800858668,DEDICATED_PATH
1426452411,SAT Finnhamn,path,rock,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/SAT_20250811_Finnhamn_vandring_06.jpg,,,,,,,,,,,yes,SAT Finnhamn,,,135.78936545189805,DEDICATED_PATH
1426563576,SAT Finnhamn,path,rock,,designated,,hiking,medium,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/SAT_Finnhamn_Idholmen_b%C3%A4nk.jpg/1024px-SAT_Finnhamn_Idholmen_b%C3%A4nk.jpg,,,,,,,,,,,,SAT Finnhamn,,,23.219047710996595,DEDICATED_PATH
212721165,SAT Fjärdlång,path,unpaved,,yes,,hiking,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/6/69/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28195%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,23.945132812561162,DEDICATED_PATH
222182590,SAT Fjärdlång,track,gravel,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/0/03/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april.jpg,,,,,,,,,,,,SAT Fjärdlång,,,413.3141690384145,TRACK
290833704,SAT Fjärdlång,path,,,,,,,,,,,,,,,,,yes,,,,,,,SAT Fjärdlång,,,7.4290183636880895,DEDICATED_PATH
290833705,SAT Fjärdlång,path,grass,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28218%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,1436.1715024893163,DEDICATED_PATH
