qid,osm_rel,osm_way,todo
Q10435627,,103223724,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/brinkbacken.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/broby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/broknapparna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bromseby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/broangarna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/brannstrom.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/branntorpet.html in OSM relation/way
Q30160705,12865306,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bullerskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/barsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/digermyren.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/djupviken.html in OSM relation/way
Q30165719,10626959,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/djurgard.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/domarudden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/drevviken.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/dyviks-lovangar.html in OSM relation/way
Q30158226,10626315,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/davelsofjarden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/edebo-sattra-utskog.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ekebysjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ekholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ekoberget.html in OSM relation/way
Q10481121,10626958,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/eldgarnso.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ensta-o.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/erikso.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ersmossen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/exerman-hersby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/farstanas.html in OSM relation/way
Q18289763,8521592,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/fifang.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/fiskarudden.html in OSM relation/way
Q1422492,1463788,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/fjardlang.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/flaten.html in OSM relation/way
Q5458610,10631432,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/flemingsbergsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/frolunda.html in OSM relation/way
Q30205045,,103224343,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/furusundsfjarden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/fysingen.html in OSM relation/way
Q30163211,13929199,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/farholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/faberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/farsna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/faviksgrundet.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gammalbyberg.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/garnudden.html in OSM relation/way
Q55693510,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/getholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gillberga.html in OSM relation/way
Q30176892,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gisslingo.html in OSM relation/way
Q29580017,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/glado-kvarnsjo.html in OSM relation/way
Q10505222,10631433,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gladoskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grendalen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grevinnans-ra.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gribby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grimsta.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grottberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grundsjomossarna.html in OSM relation/way
Q30172530,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/graddo-asken.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/granskaret.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gronskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gullringskarret.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gullunge.html in OSM relation/way
Q30172747,,103225642,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gymmerholmen.html in OSM relation/way
Q10512483,1463746,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/galo.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gasholmen.html in OSM relation/way
Q30183563,10626461,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/galnan.html in OSM relation/way
Q10512354,9344353,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gardesudden.html in OSM relation/way
Q5626593,1463764,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gommaren.html in OSM relation/way
Q10512650,,209686481,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gomsta-ang.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/gorvaln.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hagsatraskogen.html in OSM relation/way
Q30180517,1463802,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hallonstenarna.html in OSM relation/way
Q30197151,10626052,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hallskaret.html in OSM relation/way
Q30169901,10626460,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/halsfambaken.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hammarberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hammaren.html in OSM relation/way
Q30160722,11901220,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hamnskogen-eriksberg.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hamnskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hansta.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hasselhorn.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hemholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hummelberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hundsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/husby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/huvudholmen.html in OSM relation/way
Q5951207,1463779,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/huvudskar.html in OSM relation/way
Q28485678,9348944,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/huvududden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hallviksjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hallsboskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/haringe-hammersta.html in OSM relation/way
Q30159080,10626313,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hastholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/havero-bergby.html in OSM relation/way
Q29580026,,103228133,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/havero-prastang.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/hokmossen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/horningsnas.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/igelbacken-i-solna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/igelsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/judarskogen.html in OSM relation/way
Q10541386,1463774,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/jungfruskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/jagarskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kalkberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kamsmosskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kappsta.html in OSM relation/way
Q30158662,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/karlsdalsmossen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kasberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/klippan-finnala.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/klovsten.html in OSM relation/way
Q30165417,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/klovberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/koffertberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kolartorp.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kornamossen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/korpberget.html in OSM relation/way
Q30208639,15425988,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/korshamn.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/krakmyren.html in OSM relation/way
Q10549793,10626049,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kudoxa.html in OSM relation/way
Q30206095,8537591,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kullo.html in OSM relation/way
Q124660839,,1154068359,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kursoskogen-sodra.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kyrksjoloten.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/kalso.html in OSM relation/way
Q10593699,9348947,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/karingboda.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ladudden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ladangssjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/laggatorp.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/landsboda.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/larudan.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lejondal.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lettholmen.html in OSM relation/way
Q30158356,10631429,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lida.html in OSM relation/way
Q10561728,10626305,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lilla-husarn.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lilla-svedjeholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lillsjon-ornassjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lina.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lindholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/linkudden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lissmadalen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/liss-mardsjoskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/loharads-prastgard.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/loharad-svartkarret.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/loskalva-skog.html in OSM relation/way
Q2625471,8467810,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lovo.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/langgrundet.html in OSM relation/way
Q91870846,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/langholmen-karingo.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/langsjon.html in OSM relation/way
Q10572699,5823084,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/langviksskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/langvikstrask.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/langangen-elfvik.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lannaskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lotsjon-golfangarna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/lovdalsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/malmsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/markdal.html in OSM relation/way
Q30180656,10626048,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/marum.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/molnsattra.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/moraans-dalgang.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/mornasan.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/munkholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/myrbacken.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/mardsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/masjon-borudamyren.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/malarskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/mortsjoskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/morto-bunso.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/nackareservatet-i-nacka.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/nackareservatet-i-stockholm.html in OSM relation/way
Q30158607,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norra-bjorkfjarden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norra-igelbacken.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norra-malma.html in OSM relation/way
Q30178285,10627924,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norra-tornskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norrga.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norrgardson.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norrhenninge.html in OSM relation/way
Q30207766,,103226306,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norrholmen.html in OSM relation/way
Q10602924,10626047,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norrpada.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norrskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/norrangsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/nyckelviken.html in OSM relation/way
Q30161686,,103249601,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/nasudden.html in OSM relation/way
Q10611591,1463797,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/orlangen.html in OSM relation/way
Q30162674,,103223586,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/oxnaset.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/oxon.html in OSM relation/way
Q10617534,1463782,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/paradiset.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/parkudden-lovsta.html in OSM relation/way
