tags,id,osm_type,toilets_num
"{'access': 'customers', 'amenity': 'toilets', 'description': 'för kunder till restaurangen', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/%C3%85l%C3%B6_och_Stora_sand_20250805_05.jpg/1280px-%C3%85l%C3%B6_och_Stora_sand_20250805_05.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Båtshakets Toaletter', 'operator': 'Båtshaket', 'toilets:handwashing': 'yes', 'unisex': 'yes', 'wikimedia_commons': 'Category:Båtshaket toilets'}",5728810295,node,1
"{'access': 'yes', 'amenity': 'toilets', 'capacity:persons': '2', 'changing_table': 'no', 'description': 'Ligger på vägen ned till bryggan finns dricksvatten pump bredvid', 'drinking_water': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/8/83/SAT_%C3%85l%C3%B6_2025_maj_%28241%29_toalett.jpg', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'bucket', 'toilets:position': 'seated', 'unisex': 'yes', 'wikimedia_commons': 'Category:Ålö_brygga,_public_toilets'}",5728811148,node,1
"{'access': 'yes', 'amenity': 'toilets', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Arholma_SAT_20250813_23_toaletter_g%C3%A4sthamn.jpg/1536px-Arholma_SAT_20250813_23_toaletter_g%C3%A4sthamn.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'toilets:access': 'public', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:position': 'seated', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wikimedia_commons': 'Category:Arholma campsite public toilets'}",5744466280,node,2
"{'amenity': 'toilets', 'check_date': '2025-08-08', 'fee': 'no', 'unisex': 'yes'}",5745003238,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Arholma_SAT_20250813_14_toalett.jpg/2560px-Arholma_SAT_20250813_14_toalett.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Ahlmansvikens gästhamnen toaletter', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wikimedia_commons': 'Category:Ahlmansvikens_gästhamnen_toaletter'}",5745003241,node,2
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'no', 'toilets:disposal': 'bucket'}",5798509131,node,1
{'amenity': 'toilets'},5860556339,node,1
{'amenity': 'toilets'},6724706158,node,1
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'no', 'fee': 'no', 'toilets:disposal': 'bucket', 'unisex': 'yes'}",8870415588,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'description': 'toalett vid västra hamnen', 'fee': 'no', 'opening_hours': '24/7', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wheelchair': 'no'}",9907275660,node,1
{'amenity': 'toilets'},11092271868,node,1
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-04-02', 'description': 'Toalett som finns vid tältplatsen på Rånö', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg/3024px-SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wikimedia_commons': 'Category:Rånö_camp_site_toilets'}",12723432176,node,2
"{'amenity': 'toilets', 'toilets:disposal': 'pitlatrine'}",12748135109,node,1
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-06-31', 'description': 'torrdass vid Storsand', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/3/31/SATN%C3%A5ttar%C3%B6_2025_april_toalett_Storsand.jpg', 'image:license': 'CC-0', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wikimedia_commons': 'Category:Nåttarö_public_toilets_Storsand'}",12849416944,node,1
"{'access': 'official', 'amenity': 'toilets', 'check_date': '2025-07-30', 'handicap': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/N%C3%A5ttar%C3%B6_20250731_batch_10.jpg/1280px-N%C3%A5ttar%C3%B6_20250731_batch_10.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Toaletter vid Nåttarö Brygga', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'bucket', 'toilets:number': '3', 'unisex': 'yes', 'wheelchair': 'yes'}",13037259125,node,3
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/SATN%C3%A5ttar%C3%B6_2025_april_%28246%29_toalett.jpg/500px-SATN%C3%A5ttar%C3%B6_2025_april_%28246%29_toalett.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'wikimedia_commons': 'Category:Nåttarö_toilet_13041364818'}",13041364818,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'description': 'toalett vid västra hamnen', 'fee': 'no', 'opening_hours': '24/7', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wheelchair': 'no'}",13041911527,node,1
"{'access': 'customers', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-08-03', 'fee': 'no', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:position': 'toilets:position=seated', 'unisex': 'yes', 'wheelchair': 'no'}",13045581191,node,2
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'yes', 'check_date': '2025-08-03', 'fee': 'no', 'handicap': 'yes', 'note': 'Sköts av Skärgårdsstiftelsen och felanmäls dit. Har ramp för rullstol.', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'portable': 'no', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:position': 'toilets:position=seated', 'unisex': 'yes', 'wheelchair': 'yes'}",13045581192,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-08-06', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/SAT_Ut%C3%B6_20250805_vandring_Norra_08.jpg/3024px-SAT_Ut%C3%B6_20250805_vandring_Norra_08.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'portable': 'no', 'toilets:disposal': 'chemical', 'toilets:handwashing': 'no', 'toilets:num_chambers': '1', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Utö_public_toilets_13050416339'}",13050416339,node,1
"{'amenity': 'toilets', 'check_date': '2025-08-13', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Vandrarhem_Bull_August_g%C3%A5rd_20250813_14.jpg/1536px-Vandrarhem_Bull_August_g%C3%A5rd_20250813_14.jpg', 'image:license': 'CC-0', 'level': '0', 'name': 'Toalett BullAugust', 'opening_hours': '24/7', 'operator:wikidata': 'Q135110019', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Bull-August'}",13067993747,node,1
"{'access': 'customers', 'amenity': 'toilets', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Arholma_20250816_02.jpg/1280px-Arholma_20250816_02.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'male': 'yes', 'name': 'Toalett Herrar Dansbanan', 'toilets:disposal': 'flush', 'wikimedia_commons': 'Category:Arholma_Dansbana_toilets_13072501854'}",13072501854,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-04-23', 'image': 'https://upload.wikimedia.org/wikipedia/commons/7/7b/SATN%C3%A5ttar%C3%B6_2025_april_toalett.jpg', 'image:license': 'CC-.0', 'image:license:wikidata': 'Q6938433', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Nåttarö_toilet_13081283759'}",13081283759,node,1
"{'access': 'yes', 'amenity': 'toilets', 'building': 'yes', 'changing_table': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/SAT_Arholma_20250813_09.jpg/960px-SAT_Arholma_20250813_09.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Arholma dansbana Toaletter', 'opening_hours': '24/7', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:SAT_Arholma_bryggan_toaletter'}",292553972,way,1
"{'access': 'yes', 'amenity': 'toilets', 'building': 'yes', 'fee': 'no', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'unisex': 'yes'}",322935651,way,1
"{'access': 'yes', 'amenity': 'toilets', 'building': 'service', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/%C3%96stemarsfladen_toalett_11.jpg/2560px-%C3%96stemarsfladen_toalett_11.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'level': '0', 'name': 'toaletter Östemarsfladen', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:number': '8', 'unisex': 'yes', 'wheelchair': 'no'}",322935663,way,8
"{'access': 'yes', 'amenity': 'toilets', 'building': 'yes', 'level': '0', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no'}",507890625,way,2
"{'access': 'yes', 'amenity': 'toilets', 'building': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/6/68/SATN%C3%A5ttar%C3%B6_2025_april_%28263%29_toaletter.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'opening_hours': 'same as Nåttarö Krog', 'toilets:disposal': 'flush', 'toilets:number': '3', 'unisex': 'yes', 'wheelchair': 'limited', 'wikimedia_commons': 'Category:Nåttarö_restaurant_toilets'}",1089639090,way,3
"{'access': 'yes', 'amenity': 'toilets', 'building': 'yes', 'check_date': '2025-08-01', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/N%C3%A5ttar%C3%B6_20250801_08.jpg/2560px-N%C3%A5ttar%C3%B6_20250801_08.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'operator': 'Nåttarö gård och resort', 'operator:wikidata': 'Q134691316', 'toilets:handwashing': 'yes', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Nåttarö_toilet_1089664761'}",1089639096,way,1
"{'access': 'yes', 'amenity': 'toilets', 'building': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/d/da/N%C3%A5ttar%C3%B6_20250801_08.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'operator': 'Nåttarö gård och resort', 'operator:wikidata': 'Q134691316', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wikimedia_commons': 'Category:Nåttarö_toilet_1089664761'}",1089664761,way,1
"{'access': 'customers', 'amenity': 'toilets', 'building': 'yes', 'changing_table': 'no', 'toilets:disposal': 'flush', 'unisex': 'yes', 'wheelchair': 'no'}",1305279425,way,1
"{'access': 'customers', 'amenity': 'toilets', 'building': 'yes', 'unisex': 'yes'}",1305281226,way,1
"{'access': 'yes', 'amenity': 'toilets', 'building': 'service', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/%C3%96stemarsfladen_Toaletter_5.jpg/1280px-%C3%96stemarsfladen_Toaletter_5.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'level': '1', 'name': 'toaletter Östemarsfladen', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:number': '4', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Östemarsfladen_toalett'}",1418915972,way,4
"{'access': 'customers', 'amenity': 'toilets', 'building': 'yes', 'changing_table': 'no', 'male': 'yes', 'toilets:disposal': 'flush'}",1422474180,way,1
