id,osm_type,lat,lon,label,island,distance_m,toilets_num,image_url,missing_tags,wikimedia_commons_title,wikimedia_commons_url,access,opening_hours,fee,wheelchair,toilets:number,unisex,drinking_water,changing_table,toilet:paper,indoor,operator,website,source,wikidata,wikimedia_commons,image
11084999217,node,59.037049,18.5153119,SAT Fjärdlång,Fjärdlång,14.8,1,https://upload.wikimedia.org/wikipedia/commons/b/bd/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toaletter_t%C3%A4ltplats.jpg,"opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",Category:Fjärdlång_toilet_11084999217,https://commons.wikimedia.org/wiki/File:Category:Fj%C3%A4rdl%C3%A5ng_toilet_11084999217,yes,,,,,,,,,,,,,,Category:Fjärdlång_toilet_11084999217,https://upload.wikimedia.org/wikipedia/commons/b/bd/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toaletter_t%C3%A4ltplats.jpg
11092271868,node,58.9372489,18.182648899999997,SAT Rånö,Rånö,39.7,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
12723432176,node,58.92704649999999,18.1899815,SAT Rånö,Rånö,42.5,2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg/3024px-SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg,"wheelchair, drinking_water, changing_table, toilet:paper, indoor, website, source",Category:Rånö_camp_site_toilets,https://commons.wikimedia.org/wiki/File:Category:R%C3%A5n%C3%B6_camp_site_toilets,yes,24/7,no,,2,yes,,,,,Skärgårdsstiftelsen,,,,Category:Rånö_camp_site_toilets,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg/3024px-SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg
13041911527,node,58.744608299999996,17.8652507,SAT Landsort,Öja,9.3,1,,"toilets:number, drinking_water, toilet:paper, indoor, operator, website, source",,,yes,24/7,no,no,,yes,,no,,,,,,,,
13045581191,node,58.91968700000001,18.1764135,SAT Rånö,Rånö,31.6,2,,"opening_hours, drinking_water, toilet:paper, indoor, operator, website, source",,,customers,,no,no,2,yes,,no,,,,,,,,
13045581192,node,58.9198493,18.1751578,SAT Rånö,Rånö,10.1,1,,"toilets:number, drinking_water, toilet:paper, indoor, website, source",,,yes,24/7,no,yes,,yes,,yes,,,Skärgårdsstiftelsen,,,,,
13050416339,node,58.97851279999998,18.3634318,SAT Utö,Utö,1.9,1,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/SAT_Ut%C3%B6_20250805_vandring_Norra_08.jpg/3024px-SAT_Ut%C3%B6_20250805_vandring_Norra_08.jpg,"opening_hours, toilets:number, drinking_water, toilet:paper, indoor, operator, website, source",Category:Utö_public_toilets_13050416339,https://commons.wikimedia.org/wiki/File:Category:Ut%C3%B6_public_toilets_13050416339,yes,,no,no,,yes,,no,,,,,,,Category:Utö_public_toilets_13050416339,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/SAT_Ut%C3%B6_20250805_vandring_Norra_08.jpg/3024px-SAT_Ut%C3%B6_20250805_vandring_Norra_08.jpg
507890625,way,59.77867059999998,19.091762,SAT Lidö,Lidö,83.2,2,,"opening_hours, fee, wheelchair, unisex, drinking_water, changing_table, toilet:paper, indoor, website, source",,,yes,,,,2,,,,,,Skärgårdsstiftelsen,,,,,
703944414,way,59.04464180000001,18.5124711,SAT Fjärdlång,Fjärdlång,180.8,1,,"opening_hours, wheelchair, toilets:number, changing_table, toilet:paper, indoor, website, source",,,yes,,no,,,yes,no,,,,Skärgårdsstiftelsen,,,,,
833809121,way,59.1930304,18.7155773,SAT Nämdö,Nämdö,7.4,1,,"opening_hours, wheelchair, toilets:number, drinking_water, changing_table, toilet:paper, indoor, website, source",,,yes,,no,,,yes,,,,,Skärgårdsstiftelsen,,,,,
1145185653,way,59.27390569999999,18.924231799999998,SAT Sandhamn,Sandön,6.6,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/SAT_Sandhamn_2025_april_Toaletter_Sandhamn.jpg/960px-SAT_Sandhamn_2025_april_Toaletter_Sandhamn.jpg,"opening_hours, fee, toilets:number, drinking_water, toilet:paper, indoor, operator, website, source",Category:Sandhamn_public_toilet_1145185653,https://commons.wikimedia.org/wiki/File:Category:Sandhamn_public_toilet_1145185653,yes,,,no,,yes,,no,,,,,,,Category:Sandhamn_public_toilet_1145185653,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/SAT_Sandhamn_2025_april_Toaletter_Sandhamn.jpg/960px-SAT_Sandhamn_2025_april_Toaletter_Sandhamn.jpg
1145185654,way,59.274363399999984,18.921221,SAT Sandhamn,Sandön,6.5,1,,"opening_hours, fee, toilets:number, drinking_water, toilet:paper, indoor, operator, website, source",,,yes,,,no,,yes,,no,,,,,,,,
1305279425,way,59.40703280000001,18.8854126,SAT Möja,Möja,8.5,1,,"opening_hours, fee, toilets:number, drinking_water, toilet:paper, indoor, operator, website, source",,,customers,,,no,,yes,,no,,,,,,,,
1305281226,way,59.41031190000002,18.8871311,SAT Möja,Möja,33.3,1,,"opening_hours, fee, wheelchair, toilets:number, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,customers,,,,,yes,,,,,,,,,,
1416467437,way,59.03652229999997,18.5129033,SAT Fjärdlång,Fjärdlång,93.4,4,https://upload.wikimedia.org/wikipedia/commons/4/47/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_reception.jpg,"wheelchair, drinking_water, toilet:paper, indoor, operator, website, source",Category:Fjärdlång_public_toilets,https://commons.wikimedia.org/wiki/File:Category:Fj%C3%A4rdl%C3%A5ng_public_toilets,yes,24/7,no,,4,yes,,no,,,,,,,Category:Fjärdlång_public_toilets,https://upload.wikimedia.org/wikipedia/commons/4/47/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_reception.jpg
